,Time,Topics,pos/neu/neg
288,2021-12-01 15:40:56+00:00,news,positive
289,2021-12-01 15:40:52+00:00,pro vax,positive
290,2021-12-01 15:40:37+00:00,news,neutral
291,2021-12-01 15:40:28+00:00,news,neutral
292,2021-12-01 15:40:27+00:00,anti vaccine,negative
293,2021-12-01 15:40:17+00:00,news,neutral
294,2021-12-01 15:39:32+00:00,news,neutral
295,2021-12-01 15:39:00+00:00,vaccine effects,negative
296,2021-12-01 15:38:01+00:00,news,neutral
297,2021-12-01 15:38:01+00:00,vaccine effects,negative
298,2021-12-01 15:37:42+00:00,news,neutral
299,2021-12-01 15:37:41+00:00,news,neutral
300,2021-12-01 15:37:39+00:00,news,neutral
301,2021-12-01 15:37:38+00:00,news,neutral
302,2021-12-01 15:37:24+00:00,news,negative
303,2021-12-01 15:37:10+00:00,news,neutral
304,2021-12-01 15:36:46+00:00,news,neutral
305,2021-12-01 15:36:46+00:00,news,neutral
306,2021-12-01 15:36:17+00:00,news,neutral
307,2021-12-01 15:36:03+00:00,joke,negative
308,2021-12-01 15:35:10+00:00,news,neutral
309,2021-12-01 15:35:04+00:00,news,neutral
310,2021-12-01 15:35:00+00:00,news,neutral
312,2021-12-01 15:34:42+00:00,news,positive
313,2021-12-01 15:34:28+00:00,news,positive
314,2021-12-01 15:34:23+00:00,pro vax,neutral
316,2021-12-01 15:34:04+00:00,news,positive
317,2021-12-01 15:33:23+00:00,news,neutral
318,2021-12-01 15:32:57+00:00,news,neutral
319,2021-12-01 15:32:42+00:00,news,neutral
320,2021-12-01 15:32:38+00:00,news,neutral
322,2021-12-01 15:31:50+00:00,news,neutral
323,2021-12-01 15:31:22+00:00,pandemic effects,negative
324,2021-12-01 15:31:09+00:00,news,positive
325,2021-12-01 15:31:03+00:00,news,neutral
326,2021-12-01 15:30:56+00:00,news,neutral
327,2021-12-01 15:30:39+00:00,news,neutral
328,2021-12-01 15:30:22+00:00,news,negative
329,2021-12-01 15:29:35+00:00,news,neutral
330,2021-12-01 15:29:16+00:00,news,neutral
331,2021-12-01 15:29:14+00:00,joke,neutral
332,2021-12-01 15:29:03+00:00,news,neutral
333,2021-12-01 15:28:57+00:00,news,neutral
334,2021-12-01 15:28:54+00:00,pro vax,neutral
335,2021-12-01 15:28:16+00:00,news,negative
336,2021-12-01 15:27:58+00:00,news,neutral
337,2021-12-01 15:27:50+00:00,news,neutral
338,2021-12-01 15:27:34+00:00,news,neutral
339,2021-12-01 15:26:59+00:00,news,negative
340,2021-12-01 15:26:52+00:00,news,negative
341,2021-12-01 15:26:52+00:00,news,neutral
342,2021-12-01 15:26:44+00:00,news,negative
343,2021-12-01 15:26:30+00:00,news,neutral
344,2021-12-01 15:25:21+00:00,news,neutral
345,2021-12-01 15:25:00+00:00,news,neutral
346,2021-12-01 15:24:12+00:00,pandemic effects,negative
347,2021-12-01 15:23:30+00:00,news,neutral
349,2021-12-01 15:23:28+00:00,news,neutral
350,2021-12-01 15:22:43+00:00,news,neutral
351,2021-12-01 15:22:19+00:00,news,neutral
352,2021-12-01 15:21:38+00:00,news,neutral
353,2021-12-01 15:21:22+00:00,news,neutral
354,2021-12-01 15:21:17+00:00,news,neutral
355,2021-12-01 15:20:45+00:00,pro vax,positive
356,2021-12-01 15:20:39+00:00,news,neutral
357,2021-12-01 15:19:51+00:00,news,neutral
358,2021-12-01 15:19:27+00:00,vaccine effects,negative
359,2021-12-01 15:19:23+00:00,news,neutral
360,2021-12-01 15:19:19+00:00,news,neutral
361,2021-12-01 15:19:05+00:00,pandemic effects,negative
362,2021-12-01 15:19:05+00:00,pandemic effects,negative
363,2021-12-01 15:18:59+00:00,joke,neutral
